year,AT,BE,BG,CY,CZ,DE,DK,EE,EL,ES,FI,FR,HR,HU,IE,IT,LT,LU,LV,MT,NL,PL,PT,RO,SE,SI,SK
2010,9.83,12.49,8.07,12.19,12.56,12.45,18.51,17.2,11.64,7.78,14.91,8.38,6.67,7.19,15.5,9.03,7.41,20.07,6.47,7.65,14.01,10.82,6.85,6.3,7.34,9.33,8.44
2011,9.49,11.41,8.97,11.28,12.3,12.09,18.24,17.27,11.36,7.75,13.31,7.97,6.62,7.12,14.72,8.77,7.79,18.06,6.15,7.64,13.11,10.76,6.73,6.65,6.72,9.05,8.33
2012,9.0,11.06,8.35,10.33,11.9,12.19,16.94,16.63,11.07,7.61,12.18,7.96,6.21,6.62,14.95,8.44,7.83,17.42,6.07,8.0,12.87,10.56,6.59,6.57,6.29,8.61,7.86
2013,8.77,10.97,7.65,9.4,11.46,12.39,16.58,18.55,10.05,7.06,12.21,7.87,5.93,6.42,14.92,7.83,7.51,16.68,6.05,7.15,12.86,10.44,6.43,6.01,6.09,8.41,7.8
2014,8.3,10.39,8.13,9.85,11.29,11.68,15.39,17.9,9.83,7.13,11.37,7.32,5.79,6.5,14.78,7.44,7.64,16.53,6.16,7.06,12.45,10.15,6.46,6.02,5.88,7.61,7.44
2015,8.38,10.65,8.62,9.79,11.3,11.75,15.3,15.55,9.7,7.4,10.71,7.33,5.94,6.89,15.25,7.62,7.93,17.98,6.33,5.36,12.81,10.24,6.87,6.0,5.88,7.89,7.55
2016,8.26,10.54,8.33,10.31,11.53,11.6,15.7,16.4,9.52,7.16,11.27,7.3,6.04,6.92,16.11,7.59,8.14,17.41,6.34,4.55,12.74,10.62,6.69,5.96,5.89,8.24,7.62
2017,8.55,10.48,8.68,10.52,11.39,11.4,15.62,17.53,10.06,7.43,10.69,7.39,6.33,7.2,16.32,7.56,8.55,17.07,6.55,4.84,12.47,11.08,7.21,6.17,5.65,8.44,7.82
2018,8.14,10.52,8.12,10.36,11.41,11.05,15.96,16.6,9.97,7.28,10.89,7.11,6.08,7.22,16.4,7.49,8.92,16.8,6.88,4.83,12.09,11.09,6.91,6.26,5.49,8.46,7.79
2019,8.47,10.42,7.96,10.08,10.81,10.3,15.29,12.0,9.47,6.83,10.34,6.93,6.17,7.12,15.71,7.34,9.12,17.22,6.88,4.92,11.78,10.56,6.6,6.11,5.32,8.26,7.35
2020,7.75,9.38,7.14,9.59,9.86,9.21,13.48,9.18,8.4,5.85,8.92,6.19,5.94,6.75,12.86,6.63,9.68,15.67,6.14,4.32,10.45,10.15,5.78,5.92,4.72,7.77,6.82
2021,8.24,9.54,8.11,9.66,10.44,9.63,14.27,10.22,8.61,6.24,8.89,6.54,6.24,6.99,13.29,7.25,9.02,15.41,6.35,4.29,10.55,11.03,5.68,6.17,4.9,7.92,7.6
2022,7.67,9.03,9.12,9.63,10.1,9.41,13.45,11.67,8.7,6.39,8.67,6.44,6.16,6.79,14.22,7.27,8.57,14.27,6.14,4.37,9.86,10.72,5.91,5.86,4.71,7.91,6.91
2023,7.16,8.53,7.37,9.43,9.13,8.69,12.62,8.79,8.44,6.08,7.98,6.24,3.05,6.51,13.84,6.91,8.4,13.47,6.24,4.54,9.49,10.07,5.75,5.61,4.56,7.55,7.1
2024,1.83,2.29,1.74,2.34,2.37,2.31,3.16,2.31,2.16,1.51,2.07,1.65,0.0,1.63,3.41,1.86,2.05,3.42,1.62,1.11,2.57,2.63,1.4,1.36,1.12,1.96,1.8
